,date,time,open,high,low,close,feature1,feature2,feature3,tick,tick_variation,datetime
5988,2024-02-12,16:00:00,2484.6,2492.1,2483.8,2489.9,1,1,1,78204,0.0002685645242408634,2024-02-12 16:00:00
5989,2024-02-12,16:15:00,2490.1,2494.2,2487.1,2492.5,1,1,1,78214,0.00012786252239030602,2024-02-12 16:15:00
5990,2024-02-12,16:30:00,2492.6,2503.8,2491.5,2502.5,1,1,1,78254,0.0005112866640001313,2024-02-12 16:30:00
5991,2024-02-12,16:45:00,2502.5,2527.0,2499.0,2526.0,1,1,1,78348,0.0012004956678626402,2024-02-12 16:45:00
5992,2024-02-12,17:00:00,2525.3,2531.9,2518.5,2531.9,1,1,1,78371,0.0002935189755564883,2024-02-12 17:00:00
5993,2024-02-12,17:15:00,2532.1,2532.1,2522.6,2528.3,1,1,1,78357,-0.0001786534638001379,2024-02-12 17:15:00
5994,2024-02-12,17:30:00,2528.1,2551.3,2527.6,2548.2,1,1,1,78435,0.0009949488039505227,2024-02-12 17:30:00
5995,2024-02-12,17:45:00,2548.5,2560.6,2546.4,2555.4,1,1,1,78464,0.0003696645654878207,2024-02-12 17:45:00
5996,2024-02-12,18:00:00,2555.5,2557.4,2542.5,2545.0,1,1,1,78423,-0.0005226691941764124,2024-02-12 18:00:00
5997,2024-02-12,18:15:00,2544.6,2548.7,2535.0,2545.9,1,1,1,78426,3.825335195465939e-05,2024-02-12 18:15:00
5998,2024-02-12,18:30:00,2546.0,2548.4,2540.3,2540.6,1,1,1,78405,-0.0002678041984749539,2024-02-12 18:30:00
5999,2024-02-12,18:45:00,2540.0,2551.6,2537.3,2550.7,1,1,1,78445,0.0005100414519240182,2024-02-12 18:45:00
6000,2024-02-12,19:00:00,2550.4,2561.5,2548.8,2560.0,1,1,1,78482,0.00047155684726810055,2024-02-12 19:00:00
6001,2024-02-12,19:15:00,2559.9,2595.4,2556.8,2594.5,2,2,1,78615,0.0016932217900521352,2024-02-12 19:15:00
6002,2024-02-12,19:30:00,2594.7,2614.4,2589.9,2602.1,2,2,1,78645,0.00038153377036647426,2024-02-12 19:30:00
6003,2024-02-12,19:45:00,2601.9,2613.1,2600.6,2606.7,1,1,1,78662,0.0002161378713749093,2024-02-12 19:45:00
6004,2024-02-12,20:00:00,2606.8,2615.3,2601.0,2611.3,1,1,1,78680,0.00022880095687778228,2024-02-12 20:00:00
6005,2024-02-12,20:15:00,2611.2,2630.8,2606.8,2628.2,1,1,1,78744,0.0008130908060518,2024-02-12 20:15:00
6006,2024-02-12,20:30:00,2628.1,2628.1,2609.3,2618.3,1,1,1,78707,-0.000469987496822179,2024-02-12 20:30:00
6007,2024-02-12,20:45:00,2618.2,2622.3,2610.2,2619.8,1,1,1,78712,6.352473337627247e-05,2024-02-12 20:45:00
6008,2024-02-12,21:00:00,2619.7,2630.4,2616.5,2630.2,1,1,1,78752,0.0005080526451809134,2024-02-12 21:00:00
6009,2024-02-12,21:15:00,2630.3,2636.5,2620.6,2623.5,1,1,1,78727,-0.0003175026538144208,2024-02-12 21:15:00
6010,2024-02-12,21:30:00,2623.4,2627.9,2614.2,2615.5,1,1,1,78696,-0.0003938433443741691,2024-02-12 21:30:00
6011,2024-02-12,21:45:00,2615.3,2618.2,2606.5,2608.1,1,1,1,78668,-0.0003558628440493172,2024-02-12 21:45:00
6012,2024-02-12,22:00:00,2608.3,2620.1,2608.3,2619.3,1,1,1,78711,0.0005464515732088472,2024-02-12 22:00:00
6013,2024-02-12,22:15:00,2619.4,2625.5,2617.4,2620.2,1,1,1,78714,3.81133873319101e-05,2024-02-12 22:15:00
6014,2024-02-12,22:30:00,2620.3,2626.8,2618.9,2625.5,1,1,1,78734,0.0002540521328637991,2024-02-12 22:30:00
6015,2024-02-12,22:45:00,2625.6,2645.1,2625.6,2640.1,1,1,1,78790,0.0007110027977847639,2024-02-12 22:45:00
6016,2024-02-12,23:00:00,2640.2,2645.5,2631.9,2645.3,1,1,1,78809,0.00024111828237561184,2024-02-12 23:00:00
6017,2024-02-12,23:15:00,2645.0,2650.5,2635.9,2636.2,1,1,1,78775,-0.00043151589663394547,2024-02-12 23:15:00
6018,2024-02-12,23:30:00,2636.8,2640.4,2635.2,2638.6,1,1,1,78784,0.00011424291864994054,2024-02-12 23:30:00
6019,2024-02-12,23:45:00,2638.7,2640.0,2627.5,2629.2,1,1,1,78748,-0.0004570500041475567,2024-02-12 23:45:00
